0,1,2,3,4,5
,4.,,,,
,Location:,,Lion & Shark Classroom – Shared Toilet,,
,Issue:,,Blind End,,
,Asset:,,Potential Feed to Old Swimming Pool,,
,Pipework Size:,,1”,,
,Pipework Material:,,Galvanised Steel,,
,Supplied By:,,CWST 1,,
Comment:,,,"It is believed that the pipework is no longer supplying
any outlet – it is recommended that the pipework is
capped as close as possible to the main run to prevent
any build-up of stagnated water.",,
