0,1,2,3,4,5
,2.,,,,
,Location:,,Boiler Room,,
,Issue:,,Deadleg,,
,Asset:,,Pressurisation Unit,,
,Pipework Size:,,15mm,,
,Pipework Material:,,Copper,,
,Supplied By:,,Incoming Water Supply 1,,
Comment:,,,"The usage of the pressurisation unit is sporadic which
has created a deadleg along the incoming water supply.
It is recommended that the non-return valve is inserted
as close as possible to the main run to prevent any
potential backflow of stagnated water.",,
