0,1,2,3,4,5,6,7,8
,Infants Block,,,,,,,
Location:,,,Cygnet Class,Gosling Class,Owlet Class,"Cygnet, Gosling &
Owlet Toilet",Ladybird Class,
,Type of Outlet:,,Push Tap,Push Tap,Push Tap,Push Tap,Push Tap,
,Condition of Outlet:,,Clean,Clean,Clean,Clean,Clean,
,Possibility of Spray,,Low,Low,Low,Low,Low,
,Formation?,,,,,,,
,Hot Water,,"42.8°c
CAL 1&2","41.7°c
CAL 1&2","42.1°c
CAL 1&2","A
CAL 1&2","34.0°c
CAL 1&2",
,Temperature:,,,,,,,
,Blended Water,,"24.6°c
TMV 4","23.4°c
TMV 5","22.3°c
TMV 6","26.3°c
TMV 7","21.8°c
TMV 8",
,Temperature:,,,,,,,
,Cold Water,,"17.6°c
IWS 1","17.4°c
IWS 1","19.7°c
IWS 1","A
CWST 1","19.5°c
CWST 1",
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Daily,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,1x Trough Basin,1x Trough Basin,1x Trough Basin,"4x Basins
6x Toilets",1x Trough Basin,
