0,1,2,3,4,5,6,7,8
,Junior Block,,,,,,,
Location:,,,Hall – Ladies Toilet,Hall – Gents Toilet,"Stingray & Dolphin
Toilet",Dolphin Classroom,"Stingray
Classroom",
,Type of Outlet:,,Push Taps,Push Taps,Push Taps,Push Taps,Push Taps,
,Condition of Outlet:,,Scaled,Scaled,Scaled,Scaled,Scaled,
,Possibility of Spray,,Low,Low,Low,Low,Low,
,Formation?,,,,,,,
,Hot Water,,"18.7°c
CAL 1&2","17.4°c
CAL 1&2","19.0°c
CAL 1&2",N/A,N/A,
,Temperature:,,,,,,,
,Blended Water,,"18.7°c
TMV 18","17.4°c
TMV 19","19.0°c
TMV 20",N/A,N/A,
,Temperature:,,,,,,,
,Cold Water,,"18.7°c
CWST 1","17.4°c
CWST 1","19.0°c
CWST 1","17.3°c
CWST 1","18.7°c
CWST 1",
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Daily,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,"2x Basins
2x Toilets","2x Basins
2x Toilets","2x Basins
4x Toilets",2x Sinks,2x Sinks,
