0,1,2,3,4,5,6,7,8
,Infants Block,,,,,,,
Location:,,,"Ladybird &
Dragonfly Toilet",Dragonfly Class,"Dining Hall –
Cleaners Store",Dining Hall,"Dining Hall –
Unisex Toilet",
,Type of Outlet:,,Push Tap,Push Tap,Tap,Tap,Push Tap,
,Condition of Outlet:,,Clean,Clean,Scaled,Scaled,Clean,
,Possibility of Spray,,Low,Low,Low,Low,Low,
,Formation?,,,,,,,
,Hot Water,,"41.6°c
CAL 1&2","35.0°c
CAL 1&2",N/A,N/A,"50.1°c
CAL 1&2",
,Temperature:,,,,,,,
,Blended Water,,"34.4°c
TMV 9","22.4°c
TMV 10",N/A,N/A,N/A,
,Temperature:,,,,,,,
,Cold Water,,"19.6°c
CWST 1","18.1°c
CWST 1","°c
CWST 1","°c
IWS 1",N/A,
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Daily,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,"4x Basins
4x Toilets",1x Trough Basin,1x Sink,1x Sink,"1x Basin
2x Toilets",
