0,1,2,3,4,5,6,7,8
,Junior Block,,,,,,,
Location:,,,Well Being Room,Gecko Classroom,"Crocodile
Classroom","Gecko & Crocodile
Toilet",,
,Type of Outlet:,,Taps,Push Taps,Push Taps,Push Taps,,
,Condition of Outlet:,,Clean,Scaled,Scaled,Scaled,,
,Possibility of Spray,,Low,Low,Low,Low,,
,Formation?,,,,,,,
,Hot Water,,"35.5°c
CAL 1&2",N/A,N/A,"39.6°c
CAL 1&2",,
,Temperature:,,,,,,,
,Blended Water,,N/A,N/A,N/A,"37.3°c
TMV 22",,
,Temperature:,,,,,,,
,Cold Water,,"19.0°c
IWS 1","17.4°c
CWST 1","17.9°c
CWST 1","18.3°c
CWST 1",,
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Daily,Daily,,
,of Use:,,,,,,,
Assets:,,,"1x Sink
1x Tea Boiler",2x Sinks,2x Sinks,"2x Basins
4x Toilets",,
