0,1,2,3,4,5
,7.,,,,
,Location:,,Junior Block – Chameleon Toilet,,
,Issue:,,Deadleg,,
,Asset:,,Old Radiotech System,,
,Pipework Size:,,15mm,,
,Pipework Material:,,Copper,,
,Supplied By:,,Calorifier 1& 2 + CWST 1,,
Comment:,,,"A deadleg has been located along the hot & cold supply
which has created an area for stagnation to occur. It is
recommended if the pipework is no longer required that
it is cut as close as possible to the main run and capped.",,
