0,1,2,3,4,5,6,7,8
,Infants Block,,,,,,,
Location:,,,Caterpillar Class,"Caterpillar &
Puffin Toilet",Puffin Class,Woodpecker Class,"Woodpecker &
Robin Toilet",
,Type of Outlet:,,Push Tap,Push Tap,Push Tap,Push Tap,Push Tap,
,Condition of Outlet:,,Clean,Clean,Clean,Clean,Clean,
,Possibility of Spray,,Low,Low,Low,Low,Low,
,Formation?,,,,,,,
,Hot Water,,"41.4°c
CAL 1&2","42.8°c
CAL 1&2","45.6°c
CAL 1&2","40.4°c
CAL 1&2","31.2°c
CAL 1&2",
,Temperature:,,,,,,,
,Blended Water,,"40.9°c
TMV 11","34.2°c
TMV 12","36.9°c
TMV 13","25.8°c
TMV 14","29.0°c
TMV 15",
,Temperature:,,,,,,,
,Cold Water,,"18.2°c
CWST 1","18.4°c
CWST 1","18.3°c
CWST 1","19.3°c
CWST 1","18.7°c
CWST 1",
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Daily,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,1x Trough Basin,"4x Basins
4x Toilets",1x Trough Basin,1x Trough Basin,"4x Basins
4x Toilets",
