0,1
Asset:,Quantity:
Incoming Water Supply,1
Cold Water Storages Tank,1
Calorifiers,2
Combination Boiler,1
HWS Return Loop Pump,1
Pressurisation Units,3
Thermostatic Mixing Valves,34
Water Filter,1
Sinks,32
Basins,56
Trough Basin,11
Toilets,63
Spray Taps,2
Dishwashers,4
Steam Ovens,2
Washing Machines,2
Drinking Fountain,5
Water Cooler,1
Tea Boilers,2
Bib Taps,7
