0,1,2,3,4,5
,5.,,,,
,Location:,,Junior Block – Servery Kitchen,,
,Issue:,,Deadleg,,
,Asset:,,N/A,,
,Pipework Size:,,22mm,,
,Pipework Material:,,Copper,,
,Supplied By:,,Incoming Water Supply 1,,
Comment:,,,"A deadleg has been located along the cold supply which
has created an area for stagnation to occur. It is
recommended if the pipework is no longer required that
it is cut as close as possible to the main run and capped.
Alternatively, flush the deadleg until an asset/outlet is
inserted.",,
