0,1,2,3,4,5,6,7,8
,Junior Block,,,,,,,
Location:,,,"Tiger & Jaguar
Toilet",Tiger Classroom,"Well Being
Room – W.C",Staff Gents W.C,Staff Ladies W.C,
,Type of Outlet:,,Push Taps,Push Taps,Taps,Taps,Taps,
,Condition of Outlet:,,Scaled,Scaled,Scaled,Clean,Clean,
,Possibility of Spray,,Low,Low,Low,Low,Low,
,Formation?,,,,,,,
,Hot Water,,"33.4°c
CAL 1&2",N/A,"28.7°c
CAL 1&2","33.4°c
CAL 1&2","33.4°c
CAL 1&2",
,Temperature:,,,,,,,
,Blended Water,,"29.4°c
TMV 21",N/A,N/A,N/A,N/A,
,Temperature:,,,,,,,
,Cold Water,,"14.8°c
CWST 1","17.2°c
CWST 1","18.6°c
CWST 1","18.1°c
CWST 1","18.7°c
CWST 1",
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Low Use,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,"2x Basins
4x Toilets",2x Sinks,1x Basin,"1x Basin
1x Toilet","2x Basins
2x Toilets",
