0,1,2,3,4,5
,8.,,,,
,Location:,,Infant Block – Robin Classroom,,
,Issue:,,Deadleg,,
,Asset:,,Hot Tap,,
,Pipework Size:,,15mm,,
,Pipework Material:,,Copper,,
,Supplied By:,,TMV 16,,
Comment:,,,"The tap is broken and consistently flows – provisions
have been put in place to prevent it from opening – this
has created a deadleg along the hot and cold water
services. Repair the faulty outlet and ensure normal
operation.",,
